FIBER, PETAL,  ORIGINALLY_ASSIGNED_TARGETBIT,  ORIGINALLY_ASSIGNED_TARGET_RA, ORIGINALLY_ASSIGNED_TARGET_DEC, OROGINALLY_ASSINED_FIBER_X, ORIGINALLY_ASSIGNED_FIBER_Y, ASSIGNED_TARGETBIT_IN_DITHERED_TILE, ASSIGNED_TARGET_RA, ASSIGNED_TARGET_DEC,ASSIGNED_FIBER_X, ASSIGNED_FIBER_Y, DELTA_RA_DITHERED_ORIGINAL_degrees, DELTA_DEC_DITHERED_ORIGINAL_degrees, FIBER_DELTA_X_DITHERED_ORIGINAL_mm, FIBER_DELTA_Y_DITHERED_ORIGINAL_mm
24,0,32,356.33020318396916,30.166825133424936,-16.222706,-261.89706,32,356.33028324317604,30.167870583923705,-16.239077,-261.62845,6.921646112755778e-05,0.0010454504987684743,-0.016370773,0.26861572
25,0,33,356.214912449163,30.29584708754715,8.419162,-228.94691,33,356.21482770336974,30.296988606504797,8.4368105,-228.65732,-7.317223974834174e-05,0.0011415189576489126,0.017648697,0.28959656
26,0,4294967296,355.87241371392497,30.15228144271423,82.011284,-265.96597,4294967296,355.87241371392497,30.15228144271423,82.011284,-265.96597,0.0,0.0,0.0,0.0
27,0,33,355.9811433931901,30.158790886246347,58.600906,-264.12265,33,355.9812152307705,30.158761463652674,58.585556,-264.13013,6.211338456913322e-05,-2.9422593673444908e-05,-0.015350342,-0.0074768066
28,0,32,356.2700105431149,30.190994636472563,-3.3284457,-255.68146,32,356.26996168878236,30.192246776940486,-3.3178089,-255.36052,-4.222743053907644e-05,0.0012521404679226578,0.0106368065,0.3209381
29,0,4294967296,356.12147114060116,30.275361222821818,28.34648,-234.18083,4294967296,356.12147114060116,30.275361222821818,28.34648,-234.18083,0.0,0.0,0.0,0.0
30,0,545,356.091197668118,30.266777103664026,34.816204,-236.38196,141733920768,356.0910419481018,30.28447535029633,34.823505,-231.8817,-0.00013449350239081196,0.01769824663230324,0.0073013306,4.5002594
31,0,545,356.3156923544201,30.283080090829987,-13.048277,-232.19228,545,356.3153159168451,30.28311051493929,-12.968049,-232.18446,-0.000325070598989364,3.042410930120809e-05,0.08022785,0.0078125
32,0,32,356.14598470551374,30.1609957722901,23.236023,-263.40952,32,356.1475582080636,30.16060783168651,22.89925,-263.5085,0.001360477106993921,-0.0003879406035913746,-0.33677292,-0.09899902
33,0,545,355.9524358881206,30.08408074748079,64.99894,-283.47507,545,355.95123324993284,30.084997713137238,65.255455,-283.23892,-0.0010406316737293373,0.0009169656564473883,0.2565155,0.23614502
34,0,545,356.1944411192358,30.21868818402404,12.82081,-248.6,545,356.19461939510853,30.21876461885756,12.782676,-248.58041,0.0001540500866307602,7.643483352026692e-05,-0.038134575,0.019592285
35,0,545,356.083341558679,30.214972920205398,36.574684,-249.60474,545,356.082671728284,30.214922210450126,36.71805,-249.6182,-0.0005788294612848467,-5.0709755271327595e-05,0.14336395,-0.013458252
36,0,545,356.09240533548353,30.177914794993544,34.6935,-259.09512,545,356.0924565414777,30.17777073718352,34.68276,-259.13208,4.426597570752559e-05,-0.00014405781002579943,-0.0107421875,-0.036956787
